,station,station_id,total_out,total_in,station_lat,station_long,station_bikes,differences
136,Potomac Greens Dr & Slaters Ln,338,1287,1310,38.82175,-77.047494,11,1.02
137,Ballenger Ave & Dulaney St,339,916,816,38.802677,-77.063562,19,0.89
138,Mount Vernon Ave & E Nelson Ave,340,834,801,38.820064,-77.057619,11,0.96
139,Mount Vernon Ave & E Del Ray Ave,341,920,984,38.82595,-77.058541,15,1.07
140,Monroe Ave & Leslie Ave,342,902,914,38.820932,-77.053096,15,1.01
141,Mount Vernon Ave & Kennedy St,343,961,943,38.833077,-77.059821,15,0.98
142,Court House Metro / 15th St & N Uhle St,344,5382,3868,38.890612,-77.084801,21,0.72
143,WAU / Flower Ave & Division St,345,1108,1109,38.986743,-77.000035,15,1.0
144,Long Bridge Park / Long Bridge Dr & 6th St S,346,862,910,38.865553,-77.05003,15,1.06
145,Connecticut Ave & McKinley St NW,347,1783,1724,38.964544,-77.075135,19,0.97
146,15th & L St NW,348,6803,7000,38.903649,-77.034918,23,1.03
147,17th & G St NW,349,9316,9851,38.898283,-77.039732,31,1.06
148,Spring St & 2nd Ave,350,219,145,38.997653,-77.034499,15,0.66
149,18th & R St NW,351,11687,11862,38.912648,-77.041834,19,1.01
150,Joyce St & 16th St S,352,1995,1900,38.859254,-77.063275,15,0.95
151,Union Market,353,8958,10616,38.907908,-76.99707,23,1.19
152,Langston Blvd & N Monroe St,354,450,452,38.896456,-77.104562,15,1.0
153,21st St & N Pierce St,355,1896,1280,38.898984,-77.078317,15,0.68
154,Langston Blvd & N Kirkwood St,356,364,393,38.895377,-77.09713,15,1.08
155,Harvard St & Adams Mill Rd NW,85,3518,3450,38.927872,-77.043358,15,0.98
156,18th & L St NW,86,6664,7222,38.903741,-77.042452,19,1.08
157,C & O Canal & Wisconsin Ave NW,87,7737,10747,38.90375,-77.06269,23,1.39
158,Maine Ave & 7th St SW,88,12504,14113,38.878694,-77.023054,19,1.13
159,D St & Maryland Ave NE,89,7352,6653,38.894841,-76.995916,23,0.9
160,34th St & Wisconsin Ave NW,90,5792,5583,38.916442,-77.0682,11,0.96
161,13th St & New York Ave NW,91,5750,6285,38.900283,-77.029822,23,1.09
162,8th & H St NW,92,13364,15092,38.8997,-77.023086,33,1.13
163,10th & Monroe St NE,93,2718,2447,38.932457,-76.993534,19,0.9
164,Eckington Pl & Q St NE,94,11118,10500,38.910972,-77.00495,23,0.94
165,6th & H St NE,95,15576,17024,38.899972,-76.998347,23,1.09
166,3rd & H St NE,96,13232,13285,38.900412,-77.001949,19,1.0
167,Bladensburg Rd & Benning Rd NE,97,2258,2859,38.900413,-76.982872,15,1.27
168,4th & East Capitol St NE,98,7868,7664,38.889955,-77.000349,11,0.97
169,Lincoln Park / 13th & East Capitol St NE ,99,11311,10193,38.890461,-76.988355,25,0.9
170,Branch & Pennsylvania Ave SE,100,175,161,38.8692,-76.9599,11,0.92
171,13th & D St NE,101,7158,6377,38.894832,-76.987633,31,0.89
172,New Hampshire Ave & T St NW,102,28177,27696,38.915544,-77.038252,23,0.98
173,Metro Center / 12th & G St NW,103,10042,12224,38.898364,-77.027869,39,1.22
174,14th & D St NW / Ronald Reagan Building,104,4955,6612,38.894514,-77.031617,25,1.33
175,7th & F St NW / National Portrait Gallery,105,13249,14026,38.897283,-77.022191,27,1.06
176,17th & K St NW / Farragut Square,106,7759,8083,38.902061,-77.038322,35,1.04
177,20th & O St NW / Dupont South,107,11099,11357,38.908905,-77.04478,19,1.02
178,4th & D St NW / Judiciary Square,108,2803,2843,38.895344,-77.016106,15,1.01
179,19th St & Constitution Ave NW,109,6345,6569,38.8923,-77.0436,35,1.04
180,37th & O St NW / Georgetown University,110,12687,12406,38.90774,-77.071652,23,0.98
181,25th St & Pennsylvania Ave NW,112,12040,12297,38.903827,-77.053485,15,1.02
182,Columbus Circle / Union Station,113,21038,21611,38.89696,-77.00493,55,1.03
183,North Capitol St & F St NW,114,6418,6895,38.897446,-77.009888,23,1.07
184,11th & M St NW,115,19942,19046,38.905579,-77.027313,19,0.96
185,36th & Calvert St NW / Glover Park,116,3418,2024,38.922581,-77.070334,15,0.59
186,14th & G St NW,117,5647,6379,38.898409,-77.032278,23,1.13
187,Potomac Ave & 35th St S,118,1180,1194,38.844015,-77.050537,15,1.01
188,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,124,12602,12571,38.88412,-77.04657,31,1.0
189,11th & F St NW,125,4949,6006,38.897857,-77.026975,15,1.21
190,23rd & E St NW ,126,6785,6527,38.896104,-77.049882,19,0.96
191,Lynn St & 19th St North,127,5899,8871,38.897315,-77.070993,27,1.5
192,Wilson Blvd & Ft Myer Dr,128,833,1239,38.8946,-77.072305,19,1.49
193,Clarendon Blvd & Pierce St,129,3225,2801,38.893438,-77.076389,15,0.87
194,Wilson Blvd & N Uhle St,130,1919,1200,38.891696,-77.0846,15,0.63
195,Rhodes St & 16th St N,131,1259,920,38.892164,-77.079375,12,0.73
196,Fairfax Village,132,235,92,38.86559,-76.952103,15,0.39
197,21st St & Constitution Ave NW,133,4107,3974,38.892459,-77.046567,15,0.97
198,Wilson Blvd & N Edgewood St,134,2016,1675,38.889396,-77.091862,15,0.83
199,Columbia Rd & Belmont St NW,135,9337,6930,38.920669,-77.04368,19,0.74
200,Rhode Island & Connecticut Ave NW,136,8261,8530,38.905996,-77.039802,23,1.03
201,Thomas Circle,137,19317,16963,38.9059,-77.0325,33,0.88
202,Wilson Blvd & N Franklin Rd,138,1486,1151,38.8904,-77.0889,12,0.77
203,Clarendon Blvd & N Fillmore St,139,2319,1902,38.8881,-77.09308,15,0.82
204,Clarendon Metro / Wilson Blvd & N Highland St,140,4856,3653,38.88701,-77.095257,21,0.75
205,18th St & Pennsylvania Ave NW,141,5577,5976,38.89968,-77.041539,27,1.07
206,4th & C St SW,142,10371,11650,38.886372,-77.017701,39,1.12
207,4th & E St SW,143,7484,7788,38.88412,-77.017445,19,1.04
